"samplename"	"platform"	"label"	"obervations"	"batch"	"bigfamily"	"family"	"celltype"	"coarsegrain"	"finegrain"	"treatment"
"SAMN12838855"	"SAMN12838855"	"Illumina HiSeq 4000"	"naive.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838857"	"SAMN12838857"	"Illumina HiSeq 4000"	"naive.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838858"	"SAMN12838858"	"Illumina HiSeq 4000"	"naive.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838860"	"SAMN12838860"	"Illumina HiSeq 4000"	"naive.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838861"	"SAMN12838861"	"Illumina HiSeq 4000"	"naive.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838863"	"SAMN12838863"	"Illumina HiSeq 4000"	"naive.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838865"	"SAMN12838865"	"Illumina HiSeq 4000"	"naive.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838867"	"SAMN12838867"	"Illumina HiSeq 4000"	"naive.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838869"	"SAMN12838869"	"Illumina HiSeq 4000"	"naive.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838871"	"SAMN12838871"	"Illumina HiSeq 4000"	"naive.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838873"	"SAMN12838873"	"Illumina HiSeq 4000"	"naive.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838877"	"SAMN12838877"	"Illumina HiSeq 4000"	"naive.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838879"	"SAMN12838879"	"Illumina HiSeq 4000"	"naive.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838881"	"SAMN12838881"	"Illumina HiSeq 4000"	"EM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838882"	"SAMN12838882"	"Illumina HiSeq 4000"	"EM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838883"	"SAMN12838883"	"Illumina HiSeq 4000"	"EM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838885"	"SAMN12838885"	"Illumina HiSeq 4000"	"EM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838887"	"SAMN12838887"	"Illumina HiSeq 4000"	"EM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838888"	"SAMN12838888"	"Illumina HiSeq 4000"	"EM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838890"	"SAMN12838890"	"Illumina HiSeq 4000"	"EM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838892"	"SAMN12838892"	"Illumina HiSeq 4000"	"EM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838894"	"SAMN12838894"	"Illumina HiSeq 4000"	"EM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838896"	"SAMN12838896"	"Illumina HiSeq 4000"	"EM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838897"	"SAMN12838897"	"Illumina HiSeq 4000"	"CM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838898"	"SAMN12838898"	"Illumina HiSeq 4000"	"CM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838899"	"SAMN12838899"	"Illumina HiSeq 4000"	"CM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838900"	"SAMN12838900"	"Illumina HiSeq 4000"	"CM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838901"	"SAMN12838901"	"Illumina HiSeq 4000"	"CM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838902"	"SAMN12838902"	"Illumina HiSeq 4000"	"naive.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838903"	"SAMN12838903"	"Illumina HiSeq 4000"	"naive.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838906"	"SAMN12838906"	"Illumina HiSeq 4000"	"naive.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838914"	"SAMN12838914"	"Illumina HiSeq 4000"	"EM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838915"	"SAMN12838915"	"Illumina HiSeq 4000"	"EM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838918"	"SAMN12838918"	"Illumina HiSeq 4000"	"EM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838920"	"SAMN12838920"	"Illumina HiSeq 4000"	"EM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838921"	"SAMN12838921"	"Illumina HiSeq 4000"	"EM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838785"	"SAMN12838785"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838787"	"SAMN12838787"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838789"	"SAMN12838789"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838791"	"SAMN12838791"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838793"	"SAMN12838793"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838796"	"SAMN12838796"	"Illumina HiSeq 4000"	"EM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838798"	"SAMN12838798"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838800"	"SAMN12838800"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838802"	"SAMN12838802"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838804"	"SAMN12838804"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838806"	"SAMN12838806"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838809"	"SAMN12838809"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838810"	"SAMN12838810"	"Illumina HiSeq 4000"	"naive.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838812"	"SAMN12838812"	"Illumina HiSeq 4000"	"naive.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838814"	"SAMN12838814"	"Illumina HiSeq 4000"	"naive.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838816"	"SAMN12838816"	"Illumina HiSeq 4000"	"naive.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SAMN12838818"	"SAMN12838818"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838821"	"SAMN12838821"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838824"	"SAMN12838824"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838826"	"SAMN12838826"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838828"	"SAMN12838828"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838830"	"SAMN12838830"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SAMN12838832"	"SAMN12838832"	"Illumina HiSeq 4000"	"TRM.CD8 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
